ENTRY	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	rfree	cons
1965:07	0.04138	0.03898	0.03502	0.03833	0.02268	0.03650	0.02967	0.03388	0.02870	0.01031	0.003145	1.007880
1965:08	0.03622	0.04419	0.05715	0.06122	0.07020	0.04896	0.04167	0.04164	0.03739	0.02365	0.003145	1.001020
1965:09	0.04388	0.03385	0.03430	0.03919	0.03798	0.03308	0.03118	0.03456	0.02735	0.03260	0.003209	1.004640
1965:10	0.06995	0.07427	0.06629	0.04576	0.05677	0.04769	0.04260	0.03846	0.03949	0.02152	0.003298	1.016120
1965:11	0.03679	0.05757	0.06331	0.03627	0.03865	0.03415	0.03825	0.03514	0.01756	-0.01259	0.003346	0.996070
1965:12	0.07689	0.02481	0.02691	0.03209	0.04405	0.02707	0.02353	0.01613	0.01803	0.007199	0.003579	0.997400
1966:01	0.07334	0.07216	0.04879	0.04152	0.04739	0.03059	0.03030	0.03284	0.01578	0.0006800	0.003747	1.001540
1966:02	0.02803	0.03617	0.02560	0.02713	0.006566	0.008528	0.009895	0.001487	-0.01146	-0.01623	0.003795	0.995700
1966:03	-0.02228	-0.01746	-0.03118	-0.02245	-0.03694	-0.02448	-0.02332	-0.02504	-0.004996	-0.02349	0.003747	0.999590
1966:04	0.01612	0.03622	0.05347	0.04883	0.03864	0.03188	0.04272	0.02160	0.02621	0.02008	0.003771	1.002360
1966:05	-0.09290	-0.09682	-0.09533	-0.07820	-0.08730	-0.07467	-0.07419	-0.06503	-0.05154	-0.04327	0.003787	0.995000
1966:06	-0.002307	0.0004660	-0.007360	0.007798	-0.002337	-0.009353	0.0002750	-0.004181	-0.002657	-0.01566	0.003675	1.003290
1966:07	-0.01319	0.003649	-0.01204	-0.01564	-0.01670	-0.01207	-0.01458	-0.01617	-0.005745	-0.01275	0.003915	1.002910
1966:08	-0.1173400	-0.1053700	-0.09933	-0.1069300	-0.09461	-0.08829	-0.08601	-0.08566	-0.08629	-0.06678	0.004042	0.988860
1966:09	-0.01674	-0.01716	-0.01646	-0.01098	-0.02591	-0.01004	-0.01065	-0.01159	-0.01493	-0.002731	0.004368	0.999990
1966:10	-0.02837	0.0003530	-0.01458	-0.005951	-0.005002	0.02197	-0.002674	0.02970	0.04980	0.05580	0.004353	0.994730
1966:11	0.03896	0.04617	0.04219	0.04477	0.05345	0.03649	0.05181	0.03377	0.03057	0.006102	0.004329	1.002940
1966:12	0.007654	0.008468	0.02970	0.01435	0.01486	0.02414	0.02217	0.02726	0.02101	-0.004970	0.004042	1.003370
1967:01	0.2091000	0.1869100	0.1904200	0.1782900	0.1362200	0.1505800	0.1136900	0.1142000	0.08187	0.06783	0.003851	1.003290
1967:02	0.04067	0.03660	0.02469	0.02657	0.02314	0.01902	0.009683	0.007294	0.01066	0.008048	0.003723	0.998990
1967:03	0.04918	0.06072	0.04843	0.06175	0.05177	0.05867	0.06027	0.05514	0.03838	0.03947	0.003483	1.001810
1967:04	0.03038	0.03331	0.03025	0.04234	0.03535	0.03803	0.04975	0.04318	0.03625	0.04334	0.003145	0.999400
1967:05	-0.004472	-0.01137	-0.02028	-0.02134	-0.01072	-0.009356	-0.01140	-0.02429	-0.03835	-0.05040	0.002952	1.002070
1967:06	0.09795	0.08604	0.08332	0.06477	0.05907	0.05042	0.03411	0.04520	0.01871	0.01519	0.002903	0.997260
1967:07	0.09824	0.08947	0.09404	0.07747	0.06681	0.06011	0.05458	0.06831	0.05668	0.03948	0.003442	0.995170
1967:08	0.01575	-0.001195	0.002541	0.002265	-0.008188	0.005769	0.01450	-0.008546	0.0009510	-0.009961	0.003491	1.000780
1967:09	0.05686	0.06204	0.04394	0.05479	0.04226	0.02991	0.03433	0.02136	0.02551	0.03486	0.003611	1.000250
1967:10	-0.02445	-0.03121	-0.03541	0.004864	-0.03219	-0.04188	-0.02757	-0.03908	-0.05241	-0.02073	0.003723	0.991990
1967:11	0.01741	0.001535	0.006523	0.01156	0.004484	0.01611	0.004129	0.01374	0.006949	0.007007	0.003859	0.998780
1967:12	0.1099800	0.07799	0.09216	0.07676	0.05052	0.06675	0.02286	0.03157	0.02965	0.02541	0.004050	1.004510
1968:01	0.07371	0.03130	0.01760	0.0002060	-0.001144	-0.01201	-0.02918	-0.02661	-0.03835	-0.04805	0.004074	1.000790
1968:02	-0.03850	-0.04051	-0.04202	-0.04380	-0.04269	-0.03694	-0.05339	-0.04854	-0.03313	-0.02533	0.004058	0.997460
1968:03	-0.01424	-0.0005330	-0.007957	-0.01792	-0.02008	-0.004373	0.009590	-0.0008820	-0.004776	0.01303	0.004209	1.006490
1968:04	0.1273500	0.1314400	0.1154400	0.1301100	0.1302900	0.1089800	0.1152200	0.1020500	0.09517	0.07984	0.004376	0.997350
1968:05	0.1057400	0.08244	0.07322	0.06897	0.05793	0.07201	0.04223	0.03866	0.03432	0.009602	0.004599	0.998960
1968:06	0.03151	0.01727	-0.0008630	0.01532	0.01472	0.01689	0.01925	0.008525	0.02442	0.008291	0.004488	1.003360
1968:07	0.01145	-0.01012	-0.02605	-0.04455	-0.03401	-0.04116	-0.04586	-0.02965	-0.02993	-0.01475	0.004321	0.997780
1968:08	0.06739	0.05050	0.03126	0.02440	0.03158	0.02633	0.01755	0.02923	0.01595	0.01219	0.004146	0.999430
1968:09	0.05358	0.04849	0.05724	0.06970	0.07026	0.05346	0.05902	0.04992	0.06352	0.03091	0.004225	0.995640
1968:10	0.01983	0.005451	0.02501	0.01379	0.005748	0.01955	0.01813	0.01150	0.01390	0.008056	0.004353	0.995520
1968:11	0.07333	0.06227	0.07166	0.07908	0.07299	0.08530	0.07565	0.06481	0.06657	0.04909	0.004432	1.004050
1968:12	-0.007331	-0.01489	-0.008145	-0.01761	-0.01878	-0.01933	-0.02593	-0.02736	-0.03141	-0.04445	0.004836	0.991270
1969:01	-0.01420	-0.01876	-0.009608	-0.008134	-0.003447	-0.01944	-0.008098	-0.004285	0.002388	-0.008904	0.004978	1.001600
1969:02	-0.08003	-0.08412	-0.07698	-0.07416	-0.07440	-0.06352	-0.07510	-0.06457	-0.06532	-0.03814	0.004962	1.002800
1969:03	0.01864	0.01885	0.01889	0.005153	0.02203	0.01018	0.01151	0.02636	0.01567	0.04079	0.004883	0.990600
1969:04	0.01867	-0.009163	-0.0004540	0.01568	0.005054	0.009111	0.01729	0.01892	0.02152	0.02458	0.004955	0.995410
1969:05	0.006648	-0.01137	-0.007918	-0.005938	0.004116	-0.004846	0.008835	-0.007225	-0.003327	0.006644	0.004899	1.004360
1969:06	-0.1129500	-0.1134900	-0.1085800	-0.1127800	-0.1023500	-0.09667	-0.09353	-0.07883	-0.06710	-0.04855	0.005214	0.989700
1969:07	-0.09396	-0.08937	-0.08878	-0.08196	-0.09629	-0.07117	-0.08422	-0.05995	-0.06546	-0.05746	0.005654	0.996220
1969:08	0.03198	0.05176	0.03998	0.05914	0.05936	0.05798	0.05484	0.05822	0.04629	0.04922	0.005639	1.002860
1969:09	-0.01088	-0.03981	-0.01520	-0.008707	0.0006880	-0.008409	-0.01487	-0.01184	-0.01540	-0.02783	0.005724	0.992190
1969:10	0.07128	0.08359	0.06788	0.07987	0.05923	0.07924	0.07788	0.08068	0.07107	0.04274	0.005654	1.002380
1969:11	-0.05279	-0.06658	-0.04303	-0.04946	-0.03950	-0.04680	-0.03958	-0.03415	-0.03655	-0.02647	0.005842	0.994250
1969:12	-0.07390	-0.06048	-0.06824	-0.04699	-0.03693	-0.02758	-0.02415	-0.01296	-0.03035	-0.01034	0.006294	0.992910
1970:01	-0.006361	-0.02400	-0.04059	-0.05158	-0.06712	-0.05756	-0.07687	-0.07830	-0.06837	-0.08176	0.006333	1.004130
1970:02	0.03966	0.04426	0.03334	0.04051	0.03732	0.05375	0.05263	0.07091	0.07526	0.05776	0.005756	0.994190
1970:03	-0.01285	-0.01352	-0.01232	-0.003959	-0.009173	-0.01256	-0.002128	-0.004040	-0.007602	-0.0001420	0.005364	0.991720
1970:04	-0.1439900	-0.1356100	-0.1429400	-0.1505400	-0.1311500	-0.1389100	-0.1287200	-0.1132300	-0.1138300	-0.08576	0.005269	0.993380
1970:05	-0.09597	-0.09536	-0.08821	-0.08051	-0.1035800	-0.08095	-0.09891	-0.07555	-0.07711	-0.04914	0.005529	1.001910
1970:06	-0.09168	-0.08175	-0.09528	-0.06295	-0.06343	-0.06985	-0.05503	-0.04181	-0.05110	-0.04815	0.005403	0.997280
1970:07	0.05790	0.05199	0.07721	0.08170	0.07129	0.07490	0.08421	0.07821	0.07678	0.07326	0.005222	0.997860
1970:08	0.05682	0.05424	0.07792	0.06357	0.06272	0.05758	0.05521	0.05858	0.04958	0.04642	0.005191	0.999640
1970:09	0.1236700	0.08569	0.09405	0.08009	0.07649	0.08170	0.07522	0.06161	0.03937	0.03241	0.004970	0.999680
1970:10	-0.07252	-0.05828	-0.04100	-0.02894	-0.03735	-0.04633	-0.03556	-0.03449	-0.02914	-0.004554	0.004796	0.991500
1970:11	-0.006776	0.02412	0.02438	0.03520	0.03757	0.03953	0.03758	0.05450	0.06236	0.05428	0.004297	0.995490
1970:12	0.1051900	0.1089800	0.08958	0.06699	0.09783	0.09086	0.08500	0.07610	0.07111	0.05187	0.003971	1.001490
1971:01	0.1758100	0.1435700	0.1211800	0.1013500	0.09332	0.1038100	0.06736	0.07655	0.05538	0.03519	0.003627	0.995510
1971:02	0.05613	0.01602	0.03033	0.02567	0.03270	0.01890	0.01839	0.02322	0.01400	0.01177	0.003032	1.002010
1971:03	0.07103	0.04779	0.04600	0.05245	0.07580	0.05260	0.05889	0.04539	0.04015	0.04149	0.002774	0.993730
1971:04	0.01627	0.03120	0.03898	0.02311	0.05096	0.04783	0.03285	0.03909	0.03170	0.03283	0.003161	1.000920
1971:05	-0.06064	-0.06003	-0.05501	-0.04507	-0.03397	-0.04868	-0.02525	-0.03585	-0.02764	-0.03802	0.003386	0.995300
1971:06	-0.02893	-0.02859	-0.01620	-0.006140	-0.0002840	-0.01440	-0.001400	0.0004570	0.008054	0.006900	0.003875	0.997030
1971:07	-0.07569	-0.04170	-0.06826	-0.05051	-0.03788	-0.06089	-0.04678	-0.04262	-0.04045	-0.03792	0.004392	0.996100
1971:08	0.06927	0.06018	0.06467	0.04568	0.05300	0.06343	0.05570	0.05257	0.03984	0.03790	0.004026	0.999140
1971:09	-0.01880	-0.01763	-0.02201	-0.01486	0.003849	-0.008032	-0.007156	-0.0005950	-0.009584	-0.004768	0.003827	0.999920
1971:10	-0.06287	-0.05382	-0.05312	-0.04363	-0.05004	-0.05696	-0.04961	-0.04103	-0.05107	-0.03387	0.003643	0.999130
1971:11	-0.04802	-0.03230	-0.03017	-0.02561	-0.01052	-0.01750	-0.02510	-0.008056	-0.006172	0.008086	0.003450	1.001720
1971:12	0.1221200	0.1122600	0.1233000	0.1137200	0.1182000	0.1043700	0.1180000	0.09427	0.1057700	0.08100	0.003282	1.004410
1972:01	0.1312300	0.1208100	0.07386	0.05978	0.05801	0.04654	0.04298	0.02601	0.02830	0.01537	0.002774	0.993830
1972:02	0.02060	0.02454	0.03952	0.03258	0.01204	0.03639	0.03561	0.02477	0.02835	0.03160	0.002628	0.999830
1972:03	-0.02043	-0.003973	-0.006409	0.005772	0.004244	0.004270	0.01161	0.01101	0.002677	0.01151	0.003056	1.012410
1972:04	0.008141	0.01502	0.009317	0.01377	-0.01227	-0.0002940	0.005954	-0.002493	0.01067	0.007128	0.003040	1.000380
1972:05	-0.02265	-0.03244	-0.03127	-0.007609	-0.01710	-0.006251	0.006454	0.004918	0.006021	0.02714	0.003024	0.999350
1972:06	-0.04198	-0.03131	-0.01820	-0.03006	-0.03548	-0.03353	-0.03297	-0.03728	-0.03241	-0.01516	0.003201	0.999520
1972:07	-0.03246	-0.03531	-0.03119	-0.02282	-0.02058	-0.02983	-0.01813	-0.02443	-0.02069	0.01002	0.003258	1.002650
1972:08	0.02470	0.02316	0.01824	0.01079	0.02059	0.02482	0.02457	0.03400	0.04749	0.03982	0.003290	1.000390
1972:09	-0.03610	-0.04397	-0.02759	-0.02149	-0.02710	-0.02565	-0.01988	-0.01618	-0.02390	0.002296	0.003803	0.996570
1972:10	-0.02702	-0.01032	-0.002206	0.001965	-0.002642	-0.006842	-0.008175	0.005424	0.003034	0.01595	0.003867	1.008110
1972:11	0.05995	0.06909	0.05799	0.04751	0.05221	0.05395	0.06494	0.08095	0.06416	0.04098	0.003899	0.997740
1972:12	-0.01604	-0.02199	-0.02603	-0.005981	-0.01386	-0.005669	-0.009094	-0.009116	-0.007523	0.02211	0.004130	1.000090
1973:01	-0.02547	-0.05044	-0.03930	-0.06268	-0.04980	-0.06519	-0.06863	-0.05477	-0.06866	-0.006566	0.004400	0.999300
1973:02	-0.06398	-0.07054	-0.07986	-0.06874	-0.07121	-0.07486	-0.06516	-0.05721	-0.04834	-0.03140	0.004551	0.994860
1973:03	-0.02488	-0.02455	-0.03049	-0.02535	-0.03155	-0.02916	-0.03008	-0.02281	-0.01982	0.003422	0.004939	0.988370
1973:04	-0.05867	-0.06479	-0.05347	-0.06766	-0.05758	-0.06481	-0.07023	-0.06440	-0.05148	-0.04038	0.005073	0.991320
1973:05	-0.07705	-0.08160	-0.08167	-0.07855	-0.05951	-0.06377	-0.06228	-0.05020	-0.03142	-0.005374	0.005151	0.997470
1973:06	-0.03378	-0.03951	-0.03079	-0.03090	-0.03028	-0.02424	-0.03182	-0.03395	-0.02684	0.0005890	0.005803	0.996060
1973:07	0.1161500	0.1068500	0.1134000	0.08401	0.08388	0.07641	0.09290	0.1028300	0.07992	0.03686	0.006442	1.005590
1973:08	-0.05083	-0.04461	-0.05028	-0.04301	-0.04169	-0.01772	-0.02289	-0.02028	-0.02027	-0.03303	0.006953	0.973800
1973:09	0.09978	0.08890	0.1035000	0.1051400	0.09566	0.1100900	0.1190300	0.1053600	0.09926	0.02985	0.006659	1.004300
1973:10	-0.0007310	0.001057	-0.002665	0.002496	-0.001127	0.01353	-0.01338	-0.002481	-0.01918	0.002240	0.005826	0.987080
1973:11	-0.2032200	-0.1842800	-0.1815500	-0.1660200	-0.1583000	-0.1535900	-0.1694600	-0.1682000	-0.1266200	-0.09975	0.006302	0.995580
1973:12	-0.01342	-0.01253	-0.01801	-0.01376	0.007289	0.02591	0.01786	0.03035	0.01679	0.01424	0.006006	0.985000
1974:01	0.2305800	0.1836100	0.1383800	0.1280200	0.1180300	0.08171	0.04916	0.04634	0.02058	-0.02213	0.006255	0.989260
1974:02	-0.008328	0.004253	0.006983	0.02495	0.007169	0.01486	0.01106	0.006712	0.01219	-0.0002290	0.005748	0.986280
1974:03	0.005357	-0.01881	-0.002095	-0.02478	-0.01484	-0.01754	-0.02935	-0.02568	-0.02977	-0.02353	0.006403	0.986940
1974:04	-0.05844	-0.05804	-0.05562	-0.04943	-0.06192	-0.06927	-0.06808	-0.06243	-0.05592	-0.03561	0.006690	0.997260
1974:05	-0.08529	-0.08472	-0.08970	-0.07465	-0.08362	-0.06901	-0.06629	-0.05601	-0.06216	-0.02181	0.006612	0.989610
1974:06	-0.03046	-0.03185	-0.03771	-0.02397	-0.03498	-0.02622	-0.03866	-0.03144	-0.03034	-0.01364	0.006356	0.992320
1974:07	-0.04900	-0.05793	-0.03145	-0.03986	-0.03890	-0.03325	-0.04178	-0.03404	-0.05573	-0.08419	0.006084	0.994450
1974:08	-0.06233	-0.08030	-0.08522	-0.07999	-0.09469	-0.07813	-0.09640	-0.09210	-0.1015200	-0.08140	0.007176	0.988190
1974:09	-0.06831	-0.08024	-0.06999	-0.06873	-0.08053	-0.06973	-0.08576	-0.07470	-0.08544	-0.1228900	0.006481	0.983840
1974:10	0.08541	0.07435	0.08064	0.09325	0.09188	0.09616	0.1382900	0.1376800	0.1695000	0.1809300	0.006014	0.995190
1974:11	-0.07116	-0.04683	-0.04096	-0.05346	-0.03650	-0.03721	-0.01767	-0.02682	-0.01396	-0.04727	0.006022	0.984480
1974:12	-0.08793	-0.09709	-0.09542	-0.05993	-0.06343	-0.05103	-0.04276	-0.04221	-0.01195	-0.01880	0.005772	0.992450
1975:01	0.5786000	0.4318700	0.3730200	0.3074100	0.2592900	0.2586000	0.2299500	0.2184200	0.1752300	0.1001300	0.005073	0.990940
1975:02	-0.05296	0.01712	0.03926	0.02620	0.03407	0.05049	0.06237	0.03950	0.04746	0.06760	0.004472	0.999500
1975:03	0.1653000	0.1216200	0.08819	0.08288	0.06688	0.06526	0.06659	0.06454	0.03388	0.01726	0.004464	0.999740
1975:04	-0.02795	0.002190	0.03270	0.02073	0.02985	0.03850	0.05264	0.05526	0.04376	0.04808	0.004559	0.998090
1975:05	0.07909	0.08747	0.08638	0.08844	0.06566	0.05759	0.05691	0.05918	0.04853	0.05413	0.004257	1.010530
1975:06	0.1110700	0.09134	0.06418	0.06565	0.07283	0.06772	0.07525	0.06720	0.07957	0.04061	0.004345	0.992430
1975:07	-0.02967	-0.04292	-0.04208	-0.03565	-0.03173	-0.04546	-0.04976	-0.05897	-0.05954	-0.06835	0.004970	0.990600
